Fleet Type,Availability_Both,Date
DT,100.00%,2025-08-25 00:00:00
DT,98.87%,2025-08-26 00:00:00
DT,96.94%,2025-08-27 00:00:00
DT,88.66%,2025-08-28 00:00:00
DT,100.00%,2025-08-29 00:00:00
DT,100.00%,2025-08-30 00:00:00
FL,100.00%,2025-08-25 00:00:00
FL,99.04%,2025-08-26 00:00:00
FL,98.22%,2025-08-27 00:00:00
FL,99.74%,2025-08-28 00:00:00
FL,100.00%,2025-08-29 00:00:00
FL,100.00%,2025-08-30 00:00:00
HD,85.77%,2025-08-25 00:00:00
HD,92.08%,2025-08-26 00:00:00
HD,96.89%,2025-08-27 00:00:00
HD,96.28%,2025-08-28 00:00:00
HD,100.00%,2025-08-29 00:00:00
HD,100.00%,2025-08-30 00:00:00
RT,99.13%,2025-08-25 00:00:00
RT,100.00%,2025-08-26 00:00:00
RT,89.16%,2025-08-27 00:00:00
RT,97.92%,2025-08-28 00:00:00
RT,100.00%,2025-08-29 00:00:00
RT,100.00%,2025-08-30 00:00:00
SR,97.46%,2025-08-25 00:00:00
SR,96.56%,2025-08-26 00:00:00
SR,97.05%,2025-08-27 00:00:00
SR,93.71%,2025-08-28 00:00:00
SR,100.00%,2025-08-29 00:00:00
SR,100.00%,2025-08-30 00:00:00
