Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
DT(Diesel),0,0,,0.95,,
HD0061 did not come for service,1,1,1,0.95,100.0%,
FL BEV,2,2,1,0.95,100.0%,
DT BEV,1,1,1,0.95,100.0%,
HD,5,4,0.8,0.95,80.0%,Support Equip. Diesel Foreman
RT,5,5,1,0.95,100.0%,
SR,5,3,0.6,0.95,60.0%,FOREMAN UTILITY
UV Emulsion Units,0,0,,0.95,,
Support Equip Utility Foreman,0,0,,0.95,,
LD0555 & LD0556 were not brought in for service.,6,4,0.66666666666666663,0.95,66.7%,Daily service compliance/quality report
